lineage,synonyms
BQ.1.23,Omicron
BQ.1.25.1,Omicron
BQ.1.26,Omicron
BQ.1.26.1,Omicron
BQ.1.26.2,Omicron
BQ.1.27,Omicron
BQ.1.28,Omicron
BQ.1.29,Omicron
BQ.1.3,Omicron
BQ.1.3.1,Omicron
BQ.1.3.2,Omicron
BQ.1.32,Omicron
BQ.1.33,Omicron
BQ.1.4,Omicron
BQ.1.5,Omicron
BQ.1.6,Omicron
BQ.1.7,Omicron
BQ.1.8,Omicron
BQ.1.8.2,Omicron
BQ.1.9,Omicron
BR.1,Omicron
BR.1.2,Omicron
BR.2.1,Omicron
BR.3,Omicron
BR.4,Omicron
BR.5,Omicron
BS.1,Omicron
BT.1,Omicron
BT.2,Omicron
BU.1,Omicron
BU.2,Omicron
BU.3,Omicron
BV.1,Omicron
BV.2,Omicron
BW.1,Omicron
BW.1.1,Omicron
BW.1.1.1,Omicron
BW.1.1.2,Omicron
BY.1.1.1,Omicron
BY.1.2,Omicron
BZ.1,Omicron
BZ.2,Omicron
C.1.2,
C.12,
C.14,
C.16,
C.18,
C.2.1,
C.20,
C.23,
C.26,
C.27,
C.28,
C.3,
C.30,
C.31,
C.35,
C.36.2,
C.36.3,
C.36.3.1,
C.37,Lambda
C.37.1,Lambda
C.38,
C.4,
C.5,
CA.1,Omicron
CA.2,Omicron
CA.3,Omicron
CA.3.1,Omicron
CA.5,Omicron
CA.6,Omicron
CA.7,Omicron
CB.1,Omicron
CC.1,Omicron
CD.1,Omicron
CD.2,Omicron
CE.1,Omicron
CF.1,Omicron
CG.1,Omicron
CH.1,Omicron
CH.1.1.1,Omicron
CH.1.1.10,Omicron
CH.1.1.11,Omicron
CH.1.1.13,Omicron
CH.1.1.14,Omicron
CH.1.1.15,Omicron
CH.1.1.16,Omicron
CH.1.1.17,Omicron
CH.1.1.18,Omicron
CH.1.1.19,Omicron
CH.1.1.2,Omicron
CH.1.1.20,Omicron
CH.1.1.21,Omicron
CH.1.1.22,Omicron
CH.1.1.23,Omicron
CH.1.1.24,Omicron
CH.1.1.25,Omicron
CH.1.1.26,Omicron
CH.1.1.27,Omicron
CH.1.1.28,Omicron
CH.1.1.3,Omicron
CH.1.1.30,Omicron
CH.1.1.32,Omicron
CH.1.1.4,Omicron
CH.1.1.5,Omicron
CH.1.1.6,Omicron
CH.1.1.7,Omicron
CH.1.1.8,Omicron
CH.1.1.9,Omicron
CJ.1.2,Omicron
CJ.1.3,Omicron
CK.1.2,Omicron
CK.1.3,Omicron
CK.1.4,Omicron
CK.1.5,Omicron
CK.2.1,Omicron
CK.2.1.1,Omicron
CK.3,Omicron
CL.1,Omicron
CL.1.1,Omicron
CL.1.2,Omicron
CL.1.3,Omicron
CM.1,Omicron
CM.10,Omicron
CM.12,Omicron
CM.2,Omicron
CM.3,Omicron
CM.4,Omicron
CM.4.1,Omicron
CM.5,Omicron
CM.5.1,Omicron
CM.5.2,Omicron
CM.6,Omicron
CM.6.1,Omicron
CM.8.1,Omicron
CM.8.1.2,Omicron
CM.8.1.3,Omicron
CM.8.1.4,Omicron
CM.9,Omicron
CN.1,Omicron
CN.2,Omicron
CP.1,Omicron
CP.1.1,Omicron
CP.1.2,Omicron
CP.1.3,Omicron
CP.2,Omicron
CP.3,Omicron
CP.4,Omicron
CP.5,Omicron
CP.6,Omicron
CP.8,Omicron
CQ.1.1,Omicron
CQ.2,Omicron
CR.1.1,Omicron
CR.1.3,Omicron
CV.1,Omicron
CV.2,Omicron
CZ.2,Omicron
D.2,
D.3,
DA.1,Omicron
DB.1,Omicron
DB.2,Omicron
DC.1,Omicron
DE.1,Omicron
DF.1,Omicron
DF.1.1,Omicron
DG.1,Omicron
DH.1,Omicron
DJ.1,Omicron
DJ.1.1,Omicron
DJ.1.1.1,Omicron
DK.1,Omicron
DL.1,Omicron
DM.1,Omicron
DN.1.1,Omicron
DN.1.1.1,Omicron
DN.1.1.2,Omicron
DN.1.1.3,Omicron
DN.1.1.4,Omicron
DN.2,Omicron
DN.3,Omicron
DN.3.1,Omicron
DP.1,Omicron
DQ.1,Omicron
DR.1,Omicron
DR.2,Omicron
DS.1,Omicron
DS.2,Omicron
DS.3,Omicron
DT.1,Omicron
DT.2,Omicron
DT.3,Omicron
DU.1,Omicron
DV.1,Omicron
DV.1.1,Omicron
DV.2,Omicron
DV.3,Omicron
DV.3.1,Omicron
DV.4,Omicron
DV.6,Omicron
DV.6.1,Omicron
DV.6.2,Omicron
DV.7,Omicron
DV.7.1.1,Omicron
DV.7.1.2,Omicron
DV.7.1.3,Omicron
DV.7.1.4,Omicron
DV.7.1.5,Omicron
DV.7.2,Omicron
DV.8,Omicron
DY.1,Omicron
DY.2,Omicron
DY.3,Omicron
DY.4,Omicron
EA.1,Omicron
EA.2,Omicron
EB.1,Omicron
EC.1.1,Omicron
ED.1,Omicron
ED.2,Omicron
ED.3,Omicron
EE.1,Omicron
EE.2,Omicron
EE.3,Omicron
EE.4,Omicron
EE.5,Omicron
EF.1,Omicron
EF.1.1,Omicron
EF.1.1.1,Omicron
EF.1.2,Omicron
EF.2,Omicron
EF.3,Omicron
EG.1,Omicron
EG.1.2,Omicron
EG.1.3,Omicron
EG.1.4,Omicron
EG.1.5,Omicron
EG.1.6,Omicron
EG.1.7,Omicron
EG.1.8,Omicron
EG.10,Omicron
EG.10.1,Omicron
EG.10.1.1,Omicron
EG.11,Omicron
EG.12,Omicron
EG.13,Omicron
EG.14,Omicron
EG.3,Omicron
EG.4,Omicron
EG.4.1,Omicron
EG.4.3,Omicron
EG.4.4,Omicron
EG.4.5,Omicron
EG.5.1.1,Omicron
EG.5.1.10,Omicron
EG.5.1.12,Omicron
EG.5.1.13,Omicron
EG.5.1.14,Omicron
EG.5.1.15,Omicron
EG.5.1.16,Omicron
EG.5.1.18,Omicron
EG.5.1.19,Omicron
EG.5.1.2,Omicron
EG.5.1.3,Omicron
EG.5.1.4,Omicron
EG.5.1.5,Omicron
EG.5.1.6,Omicron
EG.5.1.7,Omicron
EG.5.1.8,Omicron
EG.5.1.9,Omicron
EG.5.2,Omicron
EG.5.2.1,Omicron
EG.5.2.2,Omicron
EG.5.2.3,Omicron
EG.6.1,Omicron
EG.6.1.1,Omicron
EG.6.1.2,Omicron
EG.7,Omicron
EG.8,Omicron
EG.9.1,Omicron
EH.1,Omicron
EJ.1,Omicron
EJ.2,Omicron
EK.2,Omicron
EK.2.1,Omicron
EK.3,Omicron
EK.4,Omicron
EL.1,Omicron
EM.1,Omicron
EN.1,Omicron
EQ.1,Omicron
ER.1,Omicron
ER.1.1,Omicron
ES.1,Omicron
ET.1,Omicron
EU.1,Omicron
EU.1.1,Omicron
EU.1.1.1,Omicron
EU.1.1.2,Omicron
EU.1.1.3,Omicron
EV.1,Omicron
EW.1,Omicron
EW.2,Omicron
EY.1,Omicron
EZ.1,Omicron
FA.1,Omicron
FA.2,Omicron
FB.2,Omicron
FD.1.1,Omicron
FD.2,Omicron
FD.3,Omicron
FD.4,Omicron
FD.4.1,Omicron
FD.5,Omicron
FD.5.1,Omicron
FE.1,XBB.X
FE.1.1,XBB.X
FE.1.1.1,XBB.X
FE.1.1.2,XBB.X
FE.1.1.4,XBB.X
FE.1.1.5,XBB.X
FE.1.2,XBB.X
FF.1,Omicron
FG.1,Omicron
FG.2,Omicron
FG.3,Omicron
FH.1,Omicron
FJ.1,Omicron
FK.1,Omicron
FK.1.1,Omicron
FK.1.1.2,Omicron
FK.1.2,Omicron
FK.1.2.1,Omicron
FK.1.2.2,Omicron
FK.1.3.2,Omicron
FK.1.5,Omicron
FL.1.1,Omicron
FL.1.3,Omicron
FL.1.4,Omicron
FL.1.5,Omicron
FL.1.5.2,Omicron
FL.1.6,Omicron
FL.1.8,Omicron
FL.10.1,Omicron
FL.10.2,Omicron
FL.10.3,Omicron
FL.11,Omicron
FL.13,Omicron
FL.13.2,Omicron
FL.13.3,Omicron
FL.13.3.1,Omicron
FL.13.4.1,Omicron
FL.14,Omicron
FL.15,Omicron
FL.15.1.1,Omicron
FL.15.2,Omicron
FL.15.3,Omicron
FL.15.4,Omicron
FL.16,Omicron
FL.17,Omicron
FL.17.2,Omicron
FL.18.1,Omicron
FL.19.1,Omicron
FL.2,Omicron
FL.2.1,Omicron
FL.2.2.1,Omicron
FL.2.3,Omicron
FL.2.4,Omicron
FL.2.5,Omicron
FL.2.6,Omicron
FL.2.7,Omicron
FL.2.7.1,Omicron
FL.20,Omicron
FL.20.1,Omicron
FL.20.2,Omicron
FL.21,Omicron
FL.22,Omicron
FL.23,Omicron
FL.23.1,Omicron
FL.24,Omicron
FL.24.1,Omicron
FL.27,Omicron
FL.29,Omicron
FL.3,Omicron
FL.3.1,Omicron
FL.3.2,Omicron
FL.3.3,Omicron
FL.3.4,Omicron
FL.30.1,Omicron
FL.31.1,Omicron
FL.32,Omicron
FL.32.1,Omicron
FL.33,Omicron
FL.34,Omicron
FL.35,Omicron
FL.36,Omicron
FL.37,Omicron
FL.4,Omicron
FL.4.1,Omicron
FL.4.11,Omicron
FL.4.2,Omicron
FL.4.3,Omicron
FL.4.5,Omicron
FL.4.6,Omicron
FL.5,Omicron
FL.5.1,Omicron
FL.6,Omicron
FL.7,Omicron
FL.8,Omicron
FL.9,Omicron
FM.1,Omicron
FN.1,Omicron
FP.2.1,XBB.X
FP.2.1.1,XBB.X
FP.4,XBB.X
FR.1,Omicron
FS.1,Omicron
FT.1,Omicron
FT.2,Omicron
FT.3,Omicron
FT.3.1,Omicron
FT.3.1.1,Omicron
FT.4,Omicron
FU.1,Omicron
FU.1.1.1,Omicron
FU.2,Omicron
FU.2.1,Omicron
FU.3,Omicron
FU.5,Omicron
FV.1,Omicron
FW.1,XBB.X
FW.1.1,XBB.X
FW.1.1.1,XBB.X
FY.1,XBB.X
FY.1.1,XBB.X
FY.1.2,XBB.X
FY.1.2.1,XBB.X
FY.1.2.2,XBB.X
FY.1.2.3,XBB.X
FY.1.4,XBB.X
FY.1.4.1,XBB.X
FY.2,XBB.X
FY.2.1,XBB.X
FY.3,XBB.X
FY.3.1,XBB.X
FY.3.2,XBB.X
FY.3.3,XBB.X
FY.4,XBB.X
FY.4.1.1,XBB.X
FY.4.1.2,XBB.X
FY.4.2,XBB.X
FY.5.1,XBB.X
FY.5.1.1,XBB.X
FY.5.2,XBB.X
FY.5.4,XBB.X
FY.5.5,XBB.X
FY.5.5.1,XBB.X
FY.6,XBB.X
FY.6.1,XBB.X
FY.8.1,XBB.X
FY.8.1.1,XBB.X
FY.9,XBB.X
FZ.1,Omicron
FZ.1.1,Omicron
FZ.2,Omicron
G.1,
GA.1,XBB.X
GA.3,XBB.X
GA.4.1,XBB.X
GA.4.1.2,XBB.X
GA.4.1.3,XBB.X
GA.5,XBB.X
GA.6,XBB.X
GB.1,Omicron
GB.2,Omicron
GC.1,Omicron
GC.2,Omicron
GD.1,XBB.X
GD.2,XBB.X
GE.1,XBB.2.3X
GE.1.1,XBB.2.3X
GE.1.2,XBB.2.3X
GE.1.2.1,XBB.2.3X
GE.1.3,XBB.2.3X
GE.1.4,XBB.2.3X
GE.1.5,XBB.2.3X
GE.1.6,XBB.2.3X
GF.1,Omicron
GG.1,Omicron
GJ.1,XBB.2.3X
GJ.1.1,XBB.2.3X
GJ.1.2,XBB.2.3X
GJ.1.2.2,XBB.2.3X
GJ.1.2.4,XBB.2.3X
GJ.1.2.5,XBB.2.3X
GJ.1.2.7,XBB.2.3X
GJ.1.2.8,XBB.2.3X
GJ.2,XBB.2.3X
GJ.3,XBB.2.3X
GJ.4,XBB.2.3X
GJ.5,XBB.2.3X
GJ.5.1,XBB.2.3X
GJ.6,XBB.2.3X
GK.1,Omicron
GK.1.1,Omicron
GK.1.1.1,Omicron
GK.1.10,Omicron
GK.1.11,Omicron
GK.1.2,Omicron
GK.1.2.1,Omicron
GK.1.3,Omicron
GK.1.4,Omicron
GK.1.5,Omicron
GK.1.6.1,Omicron
GK.1.7,Omicron
GK.1.8,Omicron
GK.1.8.1,Omicron
GK.1.9,Omicron
GK.2,Omicron
GK.2.1,Omicron
GK.2.1.1,Omicron
GK.2.2,Omicron
GK.2.3,Omicron
GK.2.4,Omicron
GK.3,Omicron
GK.3.1,Omicron
GK.3.2,Omicron
GK.4,Omicron
GK.6,Omicron
GK.7,Omicron
GK.8.1,Omicron
GL.1,
GL.3,
GM.3,XBB.2.3X
GN.1,Omicron
GN.1.1,Omicron
GN.1.2,Omicron
GN.1.4,Omicron
GN.4,Omicron
GP.1,Omicron
GP.2,Omicron
GP.3,Omicron
GR.1,Omicron
GS.1,XBB.2.3X
GS.3,XBB.2.3X
GS.4,XBB.2.3X
GS.4.1,XBB.2.3X
GS.4.1.1,XBB.2.3X
GS.5,XBB.2.3X
GS.6,XBB.2.3X
GS.7,XBB.2.3X
GS.8,XBB.2.3X
GU.1,Omicron
GV.1,Omicron
GW.1,XBB.X
GW.2,XBB.X
GW.3,XBB.X
GW.4,XBB.X
GW.5,XBB.X
GW.5.1,XBB.X
GW.5.1.1,XBB.X
GW.5.2,XBB.X
GW.5.3,XBB.X
GW.5.3.1,XBB.X
GY.1,Omicron
GY.1.1,Omicron
GY.2.1,Omicron
GY.5,Omicron
GY.6,Omicron
GY.7,Omicron
GY.8,Omicron
GY.9,Omicron
GZ.1,XBB.2.3X
HA.1,Omicron
HA.2,Omicron
HB.1,XBB.X
HC.1,Omicron
HC.2,Omicron
HC.3,Omicron
HE.1,XBB.X
HE.2,XBB.X
HF.1,Omicron
HF.1.1,Omicron
HF.1.2,Omicron
HG.2,XBB.2.3X
HH.1,XBB.2.3X
HH.1.1,XBB.2.3X
HH.2,XBB.2.3X
HH.2.1,XBB.2.3X
HH.4,XBB.2.3X
HH.5,XBB.2.3X
HH.7,XBB.2.3X
HH.8.1,XBB.2.3X
HJ.1,Omicron
HK.1.2,Omicron
HK.11,Omicron
HK.11.1,Omicron
HK.13.1,Omicron
HK.13.2,Omicron
HK.13.2.1,Omicron
HK.16,Omicron
HK.20.1,Omicron
HK.21,Omicron
HK.22,Omicron
HK.23.1,Omicron
HK.24.1,Omicron
HK.25,Omicron
HK.26,Omicron
HK.26.1,Omicron
HK.27,Omicron
HK.27.1.1,Omicron
HK.28,Omicron
HK.29,Omicron
HK.3.10,Omicron
HK.3.11,Omicron
HK.3.12,Omicron
HK.3.13,Omicron
HK.3.2,Omicron
HK.3.2.1,Omicron
HK.3.2.2,Omicron
HK.3.3,Omicron
HK.3.4,Omicron
HK.3.5,Omicron
HK.3.6,Omicron
HK.3.7,Omicron
HK.31,Omicron
HK.33,Omicron
HK.6,Omicron
HK.7,Omicron
HK.8,Omicron
HK.8.1,Omicron
HK.9,Omicron
HN.1,Omicron
HN.2,Omicron
HN.2.1,Omicron
HN.3.1,Omicron
HN.4,Omicron
HN.4.1,Omicron
HN.6,Omicron
HN.7,Omicron
HN.8,Omicron
HP.1.1,Omicron
HQ.1,Omicron
HR.1,Omicron
HR.1.1,Omicron
HS.1,Omicron
HS.1.1,Omicron
HT.1,Omicron
HT.2,Omicron
HU.1.1,XBB.X
HV.1.1,Omicron
HV.1.10,Omicron
HV.1.11,Omicron
HV.1.3,Omicron
HV.1.4,Omicron
HV.1.5,Omicron
HV.1.6,Omicron
HV.1.7,Omicron
HV.1.8,Omicron
HV.1.9,Omicron
HV.2,Omicron
HW.1.1,
HY.1,Omicron
HZ.1,Omicron
HZ.2,Omicron
HZ.3,Omicron
JA.1,XBB.2.3X
JC.1,XBB.X
JC.2,XBB.X
JC.3,XBB.X
JC.5,XBB.X
JC.5.1,XBB.X
JD.1,Omicron
JD.1.1,Omicron
JD.1.1.1,Omicron
JD.1.1.2,Omicron
JD.1.1.3,Omicron
JD.1.1.5,Omicron
JD.1.1.6,Omicron
JD.1.1.7,Omicron
JD.1.1.8,Omicron
JD.1.2,Omicron
JD.1.2.1,Omicron
JD.2,Omicron
JE.1.1,XBB.2.3X
JE.1.1.1,XBB.2.3X
JF.1.1,Omicron
JF.1.1.2,Omicron
JF.2,Omicron
JF.3,Omicron
JF.4,Omicron
JG.1,Omicron
JG.2,Omicron
JG.3,Omicron
JG.3.1,Omicron
JG.3.2,Omicron
JG.3.3,Omicron
JG.3.4,Omicron
JG.4,Omicron
JH.1,Omicron
JJ.1,Omicron
JK.1,Omicron
JM.1,Omicron
JM.2,Omicron
JN.1,BA.2.86.X
JN.1.1,BA.2.86.X
JN.1.1.1,BA.2.86.X
JN.1.1.2,BA.2.86.X
JN.1.1.3,BA.2.86.X
JN.1.1.4,BA.2.86.X
JN.1.11,BA.2.86.X
JN.1.11.1,BA.2.86.X
JN.1.13.1,BA.2.86.X
JN.1.14,BA.2.86.X
JN.1.17,BA.2.86.X
JN.1.19,BA.2.86.X
JN.1.2,BA.2.86.X
JN.1.22,BA.2.86.X
JN.1.25.1,BA.2.86.X
JN.1.4,BA.2.86.X
JN.1.4.2,BA.2.86.X
JN.1.5,BA.2.86.X
JN.1.6,BA.2.86.X
JN.1.6.1,BA.2.86.X
JN.1.7,JN.1.7.X
JN.1.7.1,JN.1.7.X
JN.1.7.2,JN.1.7.X
JN.1.8,BA.2.86.X
JN.1.8.1,BA.2.86.X
JN.1.9.1,BA.2.86.X
JN.13,BA.2.86.X
JN.13.1,BA.2.86.X
JN.2,BA.2.86.X
JN.2.1,BA.2.86.X
JN.2.2,BA.2.86.X
JN.2.3,BA.2.86.X
JN.2.5,BA.2.86.X
JN.3,BA.2.86.X
JN.3.2,BA.2.86.X
JN.3.2.1,BA.2.86.X
JN.5.1,BA.2.86.X
JN.7,BA.2.86.X
JN.9,BA.2.86.X
JQ.1,BA.2.86.X
JQ.2,BA.2.86.X
JS.1,XBB.2.3X
JS.2,XBB.2.3X
JV.2,Omicron
JY.1,XBB.2.3X
JY.1.1,XBB.2.3X
JZ.1,Omicron
K.2,
KA.1,Omicron
KB.1,Omicron
KB.2,Omicron
KB.4,Omicron
KC.1,Omicron
KC.1.1,Omicron
KE.1,XBB.X
KE.2,XBB.X
KE.3,XBB.X
KF.1,Omicron
KH.1,XBB.2.3X
KK.1,Omicron
KL.1,Omicron
KL.1.1,Omicron
KP.1,BA.2.86.X
KP.1.1,BA.2.86.X
KQ.1,BA.2.86.X
KR.1,BA.2.86.X
L.2,
L.3,
L.4,
M.2,
N.1,
N.2,
N.4,
N.5,
N.6,
N.7,
N.8,
P.1,Gamma
P.1.1,Gamma
P.1.10,Gamma
P.1.13,Gamma
P.1.14,Gamma
P.1.15,Gamma
P.1.16,Gamma
P.1.17,Gamma
P.1.17.1,Gamma
P.1.2,Gamma
P.1.6,Gamma
P.1.7.1,Gamma
P.1.8,Gamma
P.1.9,Gamma
P.2,Zeta
P.3,Theta
P.7,
Q.1,Alpha
Q.3,Alpha
Q.4,Alpha
Q.7,Alpha
R.1,
R.2,
U.1,
V.1,
V.2,
W.1,
W.3,
W.4,
XA,
XAA,Omicron
XAB,Omicron
XAC,Omicron
XAD,Omicron
XAE,Omicron
XAF,Omicron
XAG,Omicron
XAH,Omicron
XAJ,Omicron
XAK,Omicron
XAL,Omicron
XAM,Omicron
XAN,Omicron
XAP,Omicron
XAS,Omicron
XAT,Omicron
XAU,Omicron
XAV,Omicron
XAY.1,
XAY.1.1.2,
XAY.1.1.3,
XAY.2,
XAY.2.1,
XAY.2.2,
XAY.2.3,
XAZ,Omicron
XBB.1.1,XBB.X
XBB.1.10,XBB.X
XBB.1.11.1,XBB.X
XBB.1.12,XBB.X
XBB.1.13.1,XBB.X
XBB.1.14,XBB.X
XBB.1.15.1,XBB.X
XBB.1.16,Omicron
XBB.1.16.1,Omicron
XBB.1.16.10,Omicron
XBB.1.16.11,Omicron
XBB.1.16.13,Omicron
XBB.1.16.14,Omicron
XBB.1.16.15,Omicron
XBB.1.16.16,Omicron
XBB.1.16.19,Omicron
XBB.1.16.2,Omicron
XBB.1.16.21,Omicron
XBB.1.16.22,Omicron
XBB.1.16.23,Omicron
XBB.1.16.24,Omicron
XBB.1.16.25,Omicron
XBB.1.16.27,Omicron
XBB.1.16.28,Omicron
XBB.1.16.29,Omicron
XBB.1.16.3,Omicron
XBB.1.16.30,Omicron
XBB.1.16.31,Omicron
XBB.1.16.32,Omicron
XBB.1.16.4,Omicron
XBB.1.16.5,Omicron
XBB.1.16.6,Omicron
XBB.1.16.7,Omicron
XBB.1.16.8,Omicron
XBB.1.16.9,Omicron
XBB.1.19,XBB.X
XBB.1.21,XBB.X
XBB.1.22.2,XBB.X
XBB.1.22.3,XBB.X
XBB.1.24.1,XBB.X
XBB.1.29,XBB.X
XBB.1.30,XBB.X
XBB.1.32,XBB.X
XBB.1.33,XBB.X
XBB.1.34,XBB.X
XBB.1.34.1,XBB.X
XBB.1.35,XBB.X
XBB.1.37.1,XBB.X
XBB.1.4.1,XBB.X
XBB.1.4.2,XBB.X
XBB.1.41.2,XBB.X
XBB.1.41.3,XBB.X
XBB.1.42.2,XBB.X
XBB.1.43.1,XBB.X
XBB.1.44,XBB.X
XBB.1.45,XBB.X
XBB.1.45.1,XBB.X
XBB.1.5.100,Omicron
XBB.1.5.101,Omicron
XBB.1.5.103,Omicron
XBB.1.5.105,Omicron
XBB.1.5.106,Omicron
XBB.1.5.108,Omicron
XBB.1.5.109,Omicron
XBB.1.5.11,Omicron
XBB.1.5.13,Omicron
XBB.1.5.15,Omicron
XBB.1.5.16,Omicron
XBB.1.5.18,Omicron
XBB.1.5.19,Omicron
XBB.1.5.20,Omicron
XBB.1.5.21,Omicron
XBB.1.5.22,Omicron
XBB.1.5.25,Omicron
XBB.1.5.26,Omicron
XBB.1.5.27,Omicron
XBB.1.5.29,Omicron
XBB.1.5.30,Omicron
XBB.1.5.31,Omicron
XBB.1.5.32,Omicron
XBB.1.5.33,Omicron
XBB.1.5.34,Omicron
XBB.1.5.35,Omicron
XBB.1.5.37,Omicron
XBB.1.5.38,Omicron
XBB.1.5.39,Omicron
XBB.1.5.41,Omicron
XBB.1.5.42,Omicron
XBB.1.5.44,Omicron
XBB.1.5.46,Omicron
XBB.1.5.49,Omicron
XBB.1.5.5,Omicron
XBB.1.5.50,Omicron
XBB.1.5.51,Omicron
XBB.1.5.52,Omicron
XBB.1.5.54,Omicron
XBB.1.5.56,Omicron
XBB.1.5.6,Omicron
XBB.1.5.60,Omicron
XBB.1.5.61,Omicron
XBB.1.5.64,Omicron
XBB.1.5.65,Omicron
XBB.1.5.68,Omicron
XBB.1.5.69,Omicron
XBB.1.5.7,Omicron
XBB.1.5.71,Omicron
XBB.1.5.72,Omicron
XBB.1.5.73,Omicron
XBB.1.5.76,Omicron
XBB.1.5.77,Omicron
XBB.1.5.78,Omicron
XBB.1.5.79,Omicron
XBB.1.5.8,Omicron
XBB.1.5.80,Omicron
XBB.1.5.81,Omicron
XBB.1.5.86,Omicron
XBB.1.5.88,Omicron
XBB.1.5.89,Omicron
XBB.1.5.9,Omicron
XBB.1.5.90,Omicron
XBB.1.5.93,Omicron
XBB.1.5.94,Omicron
XBB.1.5.95,Omicron
XBB.1.5.96,Omicron
XBB.1.5.97,Omicron
XBB.1.5.98,Omicron
XBB.1.5.99,Omicron
XBB.1.6,XBB.X
XBB.1.7,XBB.X
XBB.1.8,XBB.X
XBB.1.9.1,Omicron
XBB.1.9.5,XBB.X
XBB.2.1,XBB.X
XBB.2.10,XBB.X
XBB.2.11.1,XBB.X
XBB.2.2,XBB.X
XBB.2.3,XBB.2.3X
XBB.2.3.1,XBB.2.3X
XBB.2.3.15,XBB.2.3X
XBB.2.3.16,XBB.2.3X
XBB.2.3.17,XBB.2.3X
XBB.2.3.19,XBB.2.3X
XBB.2.3.2,XBB.2.3X
XBB.2.3.20,XBB.2.3X
XBB.2.3.21,XBB.2.3X
XBB.2.3.3,XBB.2.3X
XBB.2.3.4,XBB.2.3X
XBB.2.3.5,XBB.2.3X
XBB.2.3.8,XBB.2.3X
XBB.2.3.9,XBB.2.3X
XBB.2.6,XBB.X
XBB.2.6.2,XBB.X
XBB.3,XBB.X
XBB.3.1,XBB.X
XBB.3.2,XBB.X
XBB.3.3,XBB.X
XBB.3.4,XBB.X
XBB.4,XBB.X
XBB.6.1,XBB.X
XBB.8,XBB.X
XBB.8.1,XBB.X
XBB.9,XBB.X
XBC.1,
XBC.1.2.1,
XBC.1.3,
XBC.1.3.1,
XBC.1.6,
XBD,Omicron
XBE,Omicron
XBF,Omicron
XBF.1.1,Omicron
XBF.2,Omicron
XBF.3,Omicron
XBF.4,Omicron
XBF.5,Omicron
XBF.6,Omicron
XBF.7.1,Omicron
XBF.9,Omicron
XBG,Omicron
XBH,Omicron
XBJ,Omicron
XBJ.2,Omicron
XBJ.3,Omicron
XBK,Omicron
XBK.1,Omicron
XBL,
XBL.1,
XBL.3,
XBM,Omicron
XBN,
XBP,Omicron
XBQ,Omicron
XBR,Omicron
XBS,Omicron
XBT,Omicron
XBV,
XBW,
XBZ,Omicron
XCA,Omicron
XCE,
XCF,
XCF.1,
XCF.3,
XCG,
XCH,
XCH.1,
XCK,
XCL,
XCM,
XCP,
XCQ,
XCR,
XCT,
XCT.1,
XCU,
XCV,
XCW,
XCZ,
XD,
XDA,
XDA.1,
XDD,
XDD.1.1,
XDE,
XDG,
XDK,
XDK.1,
XDL,
XDM,
XDN,
XDP,
XDQ,
XDQ.1,
XDR,
XDS,
XDT,
XE,Omicron
XF,
XG,Omicron
XH,Omicron
XL,Omicron
XN,Omicron
XP,Omicron
XQ,Omicron
XR,Omicron
XS,
XV,Omicron
XW,Omicron
XY,Omicron
XZ,Omicron
Y.1,
Z.1,
